stem,served,lvl,ring_struct,cx,cy,uncorrected,served_dip,model_updated
20260728_153646,1536_sky.jpg,164.0,2.25,1303.7,132.2,4.407,0.773,2026-07-28T17:19:14+00:00
20260728_154214,1542_sky.jpg,160.0,2.78,1303.8,132.2,7.697,5.099,2026-07-28T17:19:14+00:00
20260728_154746,1547_sky.jpg,159.0,3.12,1303.8,132.2,4.889,0.641,2026-07-28T17:19:14+00:00
20260728_155313,1553_sky.jpg,166.3,2.93,1303.8,132.2,4.235,1.513,2026-07-28T17:19:14+00:00
20260728_155841,1558_sky.jpg,137.3,3.64,1303.8,132.2,4.208,2.12,2026-07-28T17:19:14+00:00
20260728_160410,1604_sky.jpg,178.0,4.05,1303.8,132.2,10.232,6.967,2026-07-28T17:19:14+00:00
20260728_160937,1609_sky.jpg,131.0,3.99,1303.8,132.2,3.17,0.386,2026-07-28T17:19:14+00:00
20260728_161507,1614_sky.jpg,155.0,4.37,1303.8,132.2,8.244,2.982,2026-07-28T17:19:14+00:00
20260728_162035,1620_sky.jpg,124.7,3.89,1303.9,132.2,3.114,0.325,2026-07-28T17:19:14+00:00
20260728_162601,1625_sky.jpg,126.3,4.16,1303.9,132.2,7.02,2.121,2026-07-28T17:19:14+00:00
20260728_163127,1631_sky.jpg,135.0,3.65,1303.9,132.2,3.708,0.07,2026-07-28T17:19:14+00:00
20260728_163655,1636_sky.jpg,146.0,4.24,1303.9,132.2,-0.463,-0.98,2026-07-28T17:19:14+00:00
20260728_164220,1642_sky.jpg,147.3,3.04,1303.9,132.2,4.455,2.208,2026-07-28T17:19:14+00:00
20260728_164746,1647_sky.jpg,210.3,2.87,1303.9,132.2,-3.849,-3.888,2026-07-28T17:19:14+00:00
20260728_165313,1653_sky.jpg,167.0,3.1,1304.0,132.2,2.742,0.007,2026-07-28T17:19:14+00:00
20260728_165838,1658_sky.jpg,160.0,2.85,1304.0,132.2,2.444,0.466,2026-07-28T17:19:14+00:00
20260728_170403,1703_sky.jpg,193.3,3.43,1304.0,132.2,1.744,-0.553,2026-07-28T17:19:14+00:00
20260728_170931,1709_sky.jpg,166.7,2.93,1304.0,132.2,6.313,2.632,2026-07-28T17:19:14+00:00
20260728_171456,1714_sky.jpg,143.0,3.07,1304.0,132.2,5.254,1.551,2026-07-28T17:19:14+00:00
20260728_172022,1720_sky.jpg,163.0,2.49,1304.0,132.2,5.376,2.053,2026-07-28T17:19:14+00:00
20260728_172633,1726_sky.jpg,142.0,2.51,1304.1,132.2,4.326,0.882,2026-07-28T17:19:14+00:00
20260728_173158,1731_sky.jpg,158.7,2.51,1304.1,132.2,6.304,2.914,2026-07-28T17:19:14+00:00
20260728_173724,1737_sky.jpg,197.3,1.86,1304.1,132.2,4.594,0.522,2026-07-28T17:19:14+00:00
20260728_174252,1742_sky.jpg,201.3,1.75,1304.1,132.2,7.957,2.54,2026-07-28T17:19:14+00:00
20260728_174817,1748_sky.jpg,201.0,3.11,1304.1,132.2,6.451,3.641,2026-07-28T17:19:14+00:00
20260728_175342,1753_sky.jpg,173.7,5.91,1304.1,132.2,13.912,9.49,2026-07-28T17:19:14+00:00
20260728_175911,1759_sky.jpg,151.3,2.72,1304.1,132.2,2.958,0.436,2026-07-28T17:19:14+00:00
20260728_180437,1804_sky.jpg,128.3,2.9,1304.2,132.2,4.523,1.311,2026-07-28T17:19:14+00:00
20260728_181002,1809_sky.jpg,138.3,6.57,1304.2,132.2,17.908,13.477,2026-07-28T17:19:14+00:00
