stem,day,lvl,ring_struct,before,after,gain,d1,d2,note
20260721_005630,20260721,43.3,5.209,6.882,1.998,3.301,4.256,2.036,
20260721_005924,20260721,26.3,7.138,7.722,0.998,3.375,6.176,3.055,
20260721_010217,20260721,16.7,8.548,-3.432,-3.432,0.2,-3.438,-4.413,
20260721_010511,20260721,12.0,9.187,12.536,5.23,5.602,10.573,7.816,
20260721_010607,20260721,9.3,8.865,8.195,2.485,3.747,6.85,3.858,
20260721_011143,20260721,0.7,16.783,10.369,4.32,6.0,10.369,8.355,
20260721_011753,20260721,,,,,,,,night
20260721_012326,20260721,,,,,,,,night
20260721_012901,20260721,,,,,,,,night
20260721_013433,20260721,,,,,,,,night
20260721_014007,20260721,,,,,,,,night
20260721_091439,20260721,,,,,,,,night
20260721_092012,20260721,,,,,,,,night
20260721_092548,20260721,,,,,,,,night
20260721_093121,20260721,,,,,,,,night
20260721_093654,20260721,0.0,18.377,12.843,9.256,6.0,12.843,12.83,
20260721_094229,20260721,2.7,12.347,11.177,5.816,6.0,9.846,8.505,
20260721_094854,20260721,12.7,6.704,10.102,5.25,6.0,9.554,8.012,
20260721_095147,20260721,20.3,5.218,8.876,2.933,6.0,7.524,6.092,
20260721_095441,20260721,36.0,4.489,6.404,0.469,6.0,5.268,4.074,
20260721_095735,20260721,56.7,6.111,-3.049,-3.049,0.2,-3.348,-3.906,
20260721_100029,20260721,77.3,4.357,4.442,0.375,5.749,2.504,1.871,
20260721_100323,20260721,90.3,2.41,5.4,1.535,3.658,3.232,1.773,
20260721_100617,20260721,99.0,2.477,6.784,1.188,3.013,4.08,1.648,
20260721_100915,20260721,107.0,2.511,4.9,1.789,4.12,3.564,2.193,
20260721_101209,20260721,112.3,2.439,4.874,0.98,2.644,3.568,0.963,
20260721_101502,20260721,120.3,2.272,5.562,0.89,2.789,2.628,0.865,
20260721_101756,20260721,128.7,4.693,6.549,0.674,2.868,3.585,1.282,
20260721_102050,20260721,136.3,5.138,8.009,1.859,3.028,5.917,2.416,
20260721_102343,20260721,142.0,5.416,11.375,1.427,3.229,8.483,3.915,
20260721_102637,20260721,150.0,3.661,-0.019,-0.019,0.2,-0.916,-1.239,
20260721_102930,20260721,154.3,3.91,5.982,-0.093,2.069,2.131,-0.261,
20260721_103223,20260721,157.7,3.786,2.486,0.345,2.844,0.923,0.322,
20260721_103521,20260721,159.3,4.028,9.73,1.477,2.75,6.152,1.934,
20260721_103815,20260721,160.7,2.682,3.617,0.514,3.887,1.156,0.676,
20260721_104108,20260721,162.7,2.064,3.06,0.742,6.0,0.742,0.736,
20260721_104401,20260721,164.3,2.273,5.169,0.409,2.553,1.758,0.4,
20260721_104655,20260721,163.3,2.491,2.742,0.277,2.894,0.689,0.253,
20260721_104948,20260721,163.3,2.111,3.026,0.156,4.074,0.509,0.31,
20260721_105241,20260721,162.0,3.721,6.181,0.914,2.838,3.023,1.049,
20260721_105535,20260721,161.3,3.326,6.018,0.26,2.349,2.279,0.252,
20260721_105828,20260721,160.0,5.118,12.383,0.413,3.774,8.194,4.65,
20260721_110130,20260721,159.3,5.323,11.229,1.273,3.07,7.932,3.333,
20260721_110423,20260721,159.3,8.544,10.225,1.522,3.073,6.917,2.912,
20260721_110717,20260721,161.7,6.919,12.851,1.797,3.694,9.973,5.531,
20260721_111010,20260721,163.0,5.801,6.158,0.085,2.348,2.279,0.249,
20260721_111304,20260721,160.7,5.246,3.928,0.631,3.675,1.177,0.649,
20260721_111557,20260721,159.3,3.096,6.638,0.675,2.545,2.958,0.66,
20260721_111850,20260721,159.7,3.797,5.141,0.227,2.6,2.216,0.554,
20260721_112144,20260721,160.3,4.254,4.329,0.073,2.252,1.6,0.066,
20260721_112437,20260721,159.3,3.948,4.513,-0.005,3.387,1.651,0.821,
20260721_112737,20260721,159.7,4.064,10.524,1.85,3.048,7.66,3.171,
20260721_113030,20260721,158.7,3.572,-0.41,-1.059,6.0,-1.063,-1.059,
20260721_113324,20260721,156.0,4.358,4.074,0.054,2.265,0.99,0.051,
20260721_113617,20260721,153.0,2.881,-1.41,-1.597,6.0,-1.604,-1.595,
20260721_113749,20260721,150.7,4.258,-14.555,-15.608,6.0,-15.261,-15.255,
20260721_114324,20260721,156.0,3.05,4.47,0.034,2.225,1.642,0.033,
20260721_114902,20260721,161.7,5.917,-0.885,-0.886,0.2,-2.03,-3.003,
20260721_115437,20260721,167.0,5.05,-0.383,-0.863,6.0,-0.893,-0.881,
20260721_120012,20260721,168.3,2.56,1.656,1.656,0.209,-0.116,-0.291,
20260721_120549,20260721,165.0,2.765,3.23,0.351,2.711,1.192,0.356,
20260721_121124,20260721,159.0,3.006,2.008,0.351,3.601,0.66,0.356,
20260721_121659,20260721,157.3,3.195,4.67,1.129,6.0,2.28,1.868,
20260721_122237,20260721,153.3,3.082,5.775,0.804,2.54,3.576,0.789,
20260721_122811,20260721,146.3,2.808,-0.337,-0.337,0.2,-1.087,-1.257,
20260721_123347,20260721,138.0,3.348,2.328,0.557,3.925,0.918,0.541,
20260721_123925,20260721,134.3,2.553,4.569,1.007,3.07,2.321,0.976,
20260721_124501,20260721,134.0,2.755,5.853,1.032,2.875,2.85,1.026,
20260721_125037,20260721,134.7,3.018,5.236,1.012,4.378,2.947,1.9,
20260721_125615,20260721,135.3,3.186,1.709,-0.609,1.417,0.305,-0.572,
20260721_130151,20260721,137.7,2.883,4.241,1.809,4.712,2.55,1.726,
20260721_130727,20260721,142.3,2.568,4.828,1.049,3.338,2.534,1.234,
20260721_131304,20260721,138.7,2.449,5.363,0.95,2.781,2.868,0.936,
20260721_131840,20260721,135.0,2.385,5.063,0.301,2.688,2.987,0.864,
20260721_132415,20260721,129.3,2.513,4.438,0.739,3.067,1.702,0.714,
20260721_132952,20260721,121.3,3.113,5.307,1.052,3.436,2.986,1.515,
20260721_133527,20260721,119.3,2.842,1.814,-0.107,1.84,0.296,-0.127,
20260721_134101,20260721,119.0,3.221,3.867,1.276,3.689,2.646,1.465,
20260721_134637,20260721,117.7,3.083,6.917,1.425,3.146,4.672,2.06,
20260721_135212,20260721,123.7,3.445,2.981,0.417,2.549,1.777,0.401,
20260721_135746,20260721,122.7,3.591,7.097,1.627,3.792,4.721,2.692,
20260721_140323,20260721,113.7,5.757,6.67,1.546,3.34,4.608,2.245,
20260721_140858,20260721,109.7,3.841,5.005,1.457,3.407,3.887,1.949,
20260721_141432,20260721,112.3,2.917,3.906,1.418,4.452,2.871,1.873,
20260721_142009,20260721,124.0,3.032,6.906,1.086,2.866,4.472,1.597,
20260721_142627,20260721,149.0,2.377,3.686,0.91,4.466,1.665,1.089,
20260721_143201,20260721,133.7,2.788,5.938,1.223,3.502,3.975,2.068,
20260721_143738,20260721,127.3,3.28,5.42,1.352,3.275,3.407,1.61,
20260721_144312,20260721,134.0,3.915,7.845,2.246,3.935,5.738,3.391,
20260721_144847,20260721,137.0,2.674,3.348,0.633,4.389,1.477,0.954,
20260721_145423,20260721,127.0,3.04,4.976,1.363,3.377,3.388,1.678,
20260721_145957,20260721,121.0,4.151,2.544,0.248,3.178,1.573,0.707,
20260721_150532,20260721,117.7,2.852,6.041,1.929,4.666,4.156,2.796,
20260721_151108,20260721,104.7,5.325,-0.592,-1.594,0.2,-1.731,-2.312,
20260721_151642,20260721,82.0,3.08,6.385,1.689,3.967,4.606,2.743,
20260721_152216,20260721,73.3,2.814,3.913,0.882,3.144,2.003,0.882,
20260721_152752,20260721,69.3,3.407,6.134,1.717,4.456,4.432,2.893,
20260721_153326,20260721,71.7,3.732,5.876,1.911,3.574,4.295,2.293,
20260721_153900,20260721,76.7,3.497,6.713,1.975,4.341,4.946,3.169,
20260721_154437,20260721,78.0,2.851,7.548,2.696,3.575,5.631,3.007,
20260721_155011,20260721,80.0,3.317,7.477,1.825,3.056,5.024,2.092,
20260721_155545,20260721,80.3,3.218,7.022,1.814,3.74,5.111,2.872,
20260721_160121,20260721,88.0,3.309,5.936,1.499,4.26,4.061,2.566,
20260721_160655,20260721,111.0,2.829,6.06,1.755,2.867,3.828,1.368,
20260721_161230,20260721,111.0,2.55,5.424,1.416,5.028,3.06,2.148,
20260721_161806,20260721,98.0,2.983,6.407,1.129,4.383,4.784,3.087,
20260721_162344,20260721,88.0,3.235,6.394,1.716,4.577,3.538,2.351,
20260721_162935,20260721,82.7,3.486,5.207,1.347,2.966,3.513,1.369,
20260721_163512,20260721,67.7,4.174,5.927,2.308,4.391,4.234,2.736,
20260721_164046,20260721,68.0,4.094,5.75,2.063,5.767,4.157,3.111,
20260721_164620,20260721,69.7,4.715,5.382,1.778,4.345,3.423,2.195,
20260721_165156,20260721,65.7,4.602,6.648,2.086,4.029,6.072,3.667,
20260721_165730,20260721,66.0,4.283,6.142,2.143,4.266,5.205,3.292,
20260721_170304,20260721,65.7,4.403,5.476,1.855,4.321,3.934,2.512,
20260721_170840,20260721,61.3,4.16,6.883,2.898,4.337,5.174,3.314,
20260721_171414,20260721,67.0,4.643,5.328,2.123,5.116,4.156,2.944,
20260721_171948,20260721,76.7,4.526,5.377,1.178,6.0,3.866,3.122,
20260721_172608,20260721,59.7,4.18,6.774,2.081,4.057,4.694,2.852,
20260721_173141,20260721,49.0,5.328,8.058,2.083,4.074,5.433,3.312,
20260721_173716,20260721,34.3,5.41,8.288,2.191,4.407,6.616,4.286,
20260721_174251,20260721,19.7,6.688,8.968,3.159,4.853,6.904,4.754,
20260721_174825,20260721,16.3,7.061,9.511,2.604,4.077,8.652,5.278,
20260721_175358,20260721,21.7,5.667,7.486,1.933,5.582,5.445,4.019,
20260721_175935,20260721,40.7,5.315,8.575,2.787,5.185,6.506,4.64,
20260721_180511,20260721,63.3,4.404,5.795,2.428,3.356,5.055,2.48,
20260721_181050,20260721,102.0,2.917,5.568,0.68,3.307,3.431,1.647,
20260721_181632,20260721,108.0,2.742,5.221,1.087,3.143,2.483,1.093,
20260721_182209,20260721,105.7,6.97,-5.19,-5.19,0.2,-5.197,-5.417,
20260721_182744,20260721,118.7,5.317,9.336,1.409,3.649,7.393,4.044,
20260721_183327,20260721,120.3,8.921,5.675,0.399,3.014,3.684,1.489,
20260721_183904,20260721,135.3,6.318,7.116,0.36,3.476,4.28,2.206,
20260721_184442,20260721,128.7,4.175,8.251,1.143,3.124,5.893,2.563,
20260721_185020,20260721,91.7,5.679,1.949,-0.52,4.016,1.216,0.732,
20260721_185559,20260721,126.7,2.681,5.734,0.938,2.85,3.863,1.358,
20260721_190138,20260721,125.0,3.106,4.295,0.633,3.84,2.447,1.413,
20260721_190718,20260721,119.0,7.042,7.138,0.918,3.584,4.733,2.535,
20260721_191257,20260721,129.0,7.236,0.236,-0.898,6.0,-0.154,-0.134,
20260721_191831,20260721,131.0,4.4,10.104,1.76,3.644,7.371,4.025,
20260721_192409,20260721,108.7,4.424,5.286,-0.126,2.415,3.063,0.466,
20260721_192946,20260721,107.0,5.019,-6.969,-6.969,0.2,-7.418,-7.862,
20260721_193521,20260721,114.7,4.416,2.821,0.362,2.553,1.826,0.415,
20260721_194058,20260721,107.0,4.553,7.278,0.728,2.711,4.06,1.212,
20260721_194632,20260721,101.7,3.152,4.928,1.153,4.57,2.737,1.817,
20260721_195212,20260721,92.3,6.89,9.884,1.346,3.556,7.42,3.936,
20260721_195748,20260721,86.7,6.853,2.381,-0.03,6.0,1.208,1.144,
20260721_200322,20260721,59.3,5.389,3.24,-0.098,5.474,2.544,1.862,
20260721_200857,20260721,69.0,4.34,4.378,0.742,6.0,2.252,1.741,
20260721_201435,20260721,65.0,6.283,-6.585,-6.664,6.0,-6.604,-6.603,
20260721_202010,20260721,89.0,4.693,4.763,1.344,3.754,2.657,1.499,
20260721_202627,20260721,98.0,7.075,5.352,1.455,3.216,4.352,1.996,
20260721_203205,20260721,100.7,4.242,5.248,0.967,2.8,2.759,0.919,
20260721_203740,20260721,112.7,5.125,15.478,2.854,4.838,12.649,8.694,
20260721_204315,20260721,118.7,7.346,7.286,0.271,3.944,5.431,3.217,
20260721_204852,20260721,113.7,5.934,-3.493,-3.493,0.2,-3.68,-4.118,
20260721_205427,20260721,130.0,3.804,4.334,0.56,3.024,1.891,0.77,
20260721_210002,20260721,154.0,2.652,5.551,0.925,2.825,3.337,1.142,
20260721_210540,20260721,151.7,3.147,3.532,0.15,1.746,0.752,-0.457,
20260721_211115,20260721,149.3,4.101,5.92,-0.137,1.952,2.675,-0.696,
20260721_211650,20260721,154.0,6.052,-17.151,-17.144,6.0,-17.149,-17.144,
20260721_212226,20260721,157.0,4.259,9.832,1.696,3.611,8.028,4.339,
20260721_212801,20260721,140.0,4.477,4.005,0.624,2.729,1.873,0.573,
20260721_213335,20260721,156.3,3.531,5.899,1.807,3.467,3.226,1.657,
20260721_213912,20260721,156.7,7.956,-8.193,-8.193,0.2,-8.903,-8.905,
20260721_214448,20260721,134.7,12.635,13.343,0.012,5.877,10.766,8.117,
20260721_215023,20260721,148.7,4.58,6.265,0.413,2.765,3.357,1.075,
20260721_215559,20260721,159.7,3.936,1.605,1.079,5.188,0.786,0.561,
20260721_220134,20260721,156.0,8.133,6.991,0.602,2.476,4.012,0.751,
20260721_220709,20260721,159.0,6.771,19.314,3.3,5.641,16.068,11.913,
20260721_221246,20260721,152.0,7.771,8.42,-0.038,2.191,5.192,-0.038,
20260721_221820,20260721,160.3,6.738,0.146,0.146,0.2,-0.809,-1.139,
20260721_222355,20260721,164.3,2.018,4.442,0.015,2.217,1.105,0.015,
20260721_222932,20260721,163.0,3.952,11.456,1.17,2.957,7.904,3.057,
20260721_223507,20260721,161.3,5.15,-2.331,-2.331,0.2,-3.126,-3.14,
20260721_224041,20260721,160.7,3.899,-5.353,-5.549,6.0,-5.716,-5.648,
20260721_224618,20260721,160.7,2.151,3.154,0.502,0.833,-0.074,-0.61,
20260721_225154,20260721,163.0,3.114,5.172,0.685,3.491,1.587,0.823,
20260721_225729,20260721,161.0,2.486,4.642,-0.12,2.432,1.577,0.255,
20260721_230306,20260721,165.7,1.961,4.372,0.195,2.383,1.468,0.194,
20260721_230841,20260721,163.0,5.927,2.813,-0.048,1.288,0.504,-1.594,
20260721_231425,20260721,158.7,10.674,-7.855,-7.855,0.2,-9.0,-10.306,
20260721_231746,20260721,155.0,9.96,3.816,0.511,2.582,2.107,0.508,
20260721_232039,20260721,155.7,8.224,-7.458,-8.157,6.0,-8.092,-8.072,
20260721_232333,20260721,151.3,13.574,8.981,0.616,3.345,6.681,3.263,
20260721_232626,20260721,155.0,9.577,2.952,-0.385,1.221,0.323,-1.431,
20260721_232920,20260721,158.0,10.185,6.795,0.283,2.845,4.38,1.531,
20260721_233213,20260721,161.7,6.459,1.638,-0.254,4.184,-0.547,-0.341,
20260721_233507,20260721,165.0,2.38,3.294,-0.082,1.622,0.383,-0.357,
20260721_233801,20260721,166.0,2.004,3.236,3.24,0.2,1.028,1.05,
20260721_234054,20260721,160.3,1.883,3.261,0.314,1.704,0.889,-0.627,
20260721_234348,20260721,157.0,1.939,3.621,0.568,3.113,1.271,0.549,
20260721_234650,20260721,158.7,2.952,3.605,0.065,2.261,1.056,0.051,
20260721_234944,20260721,160.0,2.041,4.501,0.101,2.295,1.379,0.101,
20260721_235237,20260721,152.3,2.008,4.589,0.407,2.555,1.654,0.378,
20260721_235531,20260721,158.7,5.848,7.314,1.018,2.639,3.898,1.044,
20260721_235825,20260721,154.7,3.765,0.924,0.737,0.2,-1.273,-1.476,
20260722_000118,20260722,147.0,2.384,1.721,1.366,0.2,-0.226,-0.45,
20260722_000413,20260722,142.3,7.872,9.023,0.723,2.604,4.872,1.228,
20260722_000707,20260722,126.3,11.205,-4.996,-4.986,0.2,-4.965,-5.355,
20260722_001000,20260722,109.7,4.874,-3.199,-3.199,0.2,-5.063,-7.291,
20260722_001256,20260722,114.3,2.921,3.721,-0.096,2.509,1.625,0.333,
20260722_001550,20260722,120.0,4.029,9.539,1.15,3.204,6.762,3.08,
20260722_001844,20260722,128.7,3.812,0.93,0.26,0.398,-0.412,-1.234,
20260722_002138,20260722,130.7,6.445,12.363,1.084,2.81,8.35,2.813,
20260722_002431,20260722,121.3,8.014,-0.784,-0.784,0.2,-2.696,-3.493,
20260722_002725,20260722,118.0,8.115,-5.961,-5.961,0.2,-6.315,-6.707,
20260722_003019,20260722,113.0,6.263,10.772,1.577,2.971,7.021,2.745,
20260722_003313,20260722,98.7,3.663,7.542,2.228,3.599,4.474,2.408,
20260722_003606,20260722,93.3,6.223,2.603,0.022,1.88,1.09,-0.396,
20260722_003905,20260722,101.3,7.643,-11.788,-11.788,0.2,-11.781,-12.231,
20260722_004159,20260722,101.0,5.26,1.707,0.149,0.65,-0.532,-2.357,
20260722_004453,20260722,91.0,5.312,11.142,3.106,4.12,8.135,5.006,
20260722_004747,20260722,69.3,9.692,6.733,1.418,5.041,5.561,3.91,
20260722_005041,20260722,50.7,8.282,9.221,2.404,4.752,7.615,5.179,
20260722_005335,20260722,36.3,11.158,-2.173,-4.365,6.0,-4.269,-4.265,
20260722_005629,20260722,20.7,9.837,8.222,3.36,5.471,7.254,5.307,
20260722_005922,20260722,8.3,14.033,-38.379,-38.379,0.2,-38.392,-38.448,
20260722_010216,20260722,2.0,17.753,19.853,10.503,5.164,19.852,14.13,
20260722_010550,20260722,0.0,25.351,-8.106,-9.931,6.0,-8.106,-6.319,
20260722_011125,20260722,,,,,,,,night
20260722_011735,20260722,,,,,,,,night
20260722_012308,20260722,,,,,,,,night
20260722_012846,20260722,,,,,,,,night
20260722_013419,20260722,,,,,,,,night
20260722_013952,20260722,,,,,,,,night
20260722_091432,20260722,,,,,,,,night
20260722_092006,20260722,,,,,,,,night
20260722_092541,20260722,,,,,,,,night
20260722_093114,20260722,,,,,,,,night
20260722_093647,20260722,0.0,33.2,25.034,25.034,1.0,25.034,25.034,
20260722_094222,20260722,0.0,25.803,4.483,4.483,0.2,4.483,4.485,
20260722_094800,20260722,2.0,19.883,31.266,19.507,6.0,31.266,28.134,
20260722_095059,20260722,5.7,13.861,14.906,8.517,6.0,14.893,13.295,
20260722_095353,20260722,12.0,10.513,12.511,4.109,4.421,11.813,7.67,
20260722_095647,20260722,22.7,9.187,16.54,8.023,4.257,14.737,9.308,
20260722_095941,20260722,35.3,8.384,6.579,2.39,4.715,5.273,3.57,
20260722_100235,20260722,56.3,5.99,13.897,2.553,5.121,10.782,7.642,
20260722_100529,20260722,68.0,3.979,6.367,2.198,4.939,4.65,3.233,
20260722_100823,20260722,78.7,4.349,5.385,0.894,3.557,2.987,1.585,
20260722_101116,20260722,75.0,4.589,8.267,3.328,4.921,5.987,4.155,
20260722_101410,20260722,78.3,3.575,8.129,1.274,2.77,5.887,1.896,
20260722_101704,20260722,93.7,3.813,10.0,1.826,2.984,8.193,3.237,
20260722_102000,20260722,103.3,3.241,6.804,1.679,3.259,3.917,1.836,
20260722_102254,20260722,104.0,3.099,9.832,2.156,3.235,7.483,3.465,
20260722_102548,20260722,98.7,2.814,5.357,1.566,3.976,2.597,1.55,
20260722_102842,20260722,95.0,2.888,3.161,0.417,3.321,1.197,0.578,
20260722_103136,20260722,93.7,4.229,8.689,1.908,3.756,6.674,3.768,
20260722_103429,20260722,91.0,3.812,6.736,0.834,3.275,4.993,2.359,
20260722_103723,20260722,102.7,3.335,4.097,0.272,2.414,1.699,0.257,
20260722_104017,20260722,105.3,3.692,-0.109,-0.109,0.2,-0.94,-1.119,
20260722_104311,20260722,106.3,3.279,4.932,-0.499,1.9,1.589,-0.529,
20260722_104611,20260722,116.0,2.87,5.714,1.548,2.979,2.661,1.048,
20260722_104905,20260722,112.7,3.389,8.256,1.03,3.946,4.489,2.66,
20260722_105159,20260722,111.7,3.721,1.417,1.417,0.2,-0.475,-1.056,
20260722_105453,20260722,125.3,4.675,-1.719,-1.72,0.2,-3.616,-5.193,
20260722_105746,20260722,123.7,3.381,7.759,0.815,2.954,3.55,1.371,
20260722_110040,20260722,137.7,2.951,4.589,0.135,2.291,1.799,0.126,
20260722_110334,20260722,144.0,2.663,4.034,-0.231,1.802,0.476,-0.236,
20260722_110627,20260722,155.0,3.044,4.004,0.161,2.605,0.634,0.16,
